CP2_2,,DMSO_1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
721.9598389,-0.08508131653,721.9598389,-0.09167132527,
720.9592285,-0.08973608911,720.9592285,-0.09488424659,
719.958252,-0.08201102167,719.958252,-0.09355185181,
718.9569702,-0.08974926919,718.9569702,-0.09364934266,
717.9553833,-0.08822547644,717.9553833,-0.0977615118,
716.9533691,-0.09294015169,716.9533691,-0.09794314206,
715.9510498,-0.08868191391,715.9510498,-0.09623222798,
714.9484253,-0.09177803993,714.9484253,-0.09660349786,
713.9454346,-0.09080442786,713.9454346,-0.1008540541,
712.9421387,-0.0872939527,712.9421387,-0.09361308068,
711.9384766,-0.097583808,711.9384766,-0.10356085,
710.9344482,-0.09770073742,710.9344482,-0.106594488,
709.9301147,-0.09288125485,709.9301147,-0.1040893421,
709.0690308,-0.09762205929,709.0690308,-0.1041448712,
708.0640259,-0.09560485184,708.0640259,-0.1054970995,
707.0587769,-0.09282209724,707.0587769,-0.09965525568,
706.0531616,-0.09546362609,706.0531616,-0.1025307104,
705.0471802,-0.09549969435,705.0471802,-0.1050311774,
704.0408936,-0.09398843348,704.0408936,-0.1069739684,
703.0343018,-0.09488037229,703.0343018,-0.1074628383,
702.0273438,-0.09398872405,702.0273438,-0.1036037132,
701.0200195,-0.09066335857,701.0200195,-0.09574116766,
700.0124512,-0.09080434591,700.0124512,-0.1010775194,
699.0044556,-0.09173621237,699.0044556,-0.1032452807,
697.9962158,-0.08912940323,697.9962158,-0.1040116102,
696.9876099,-0.09432683885,696.9876099,-0.1049635261,
695.9786377,-0.09054678679,695.9786377,-0.1070205495,
694.9694214,-0.09141767025,694.9694214,-0.09403141588,
693.9598389,-0.09427533299,693.9598389,-0.100592941,
692.9498901,-0.09342461079,692.9498901,-0.09914432466,
691.9396362,-0.0916088596,691.9396362,-0.1000075787,
690.9290771,-0.09085873514,690.9290771,-0.09976697713,
690.0626221,-0.09251055121,690.0626221,-0.09891676903,
689.0514526,-0.08120337874,689.0514526,-0.09282832593,
